player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
206505,Kirsi,Lampinen,U,19720129,FIN,,Q66671710
206506,Delphine,Baudin,U,19780912,FRA,,
206507,Carlijn,Buis,U,19770519,NED,,
206508,Isabelle,Godfroy,U,19800514,BEL,,
206509,Sarah,Pestieau,U,19790617,BEL,,
206510,Anne Laurence,Bilenne,R,19780409,BEL,,
206511,Sophie,Didelot,U,19700526,FRA,,
206512,Kristel,Van Der Perre,U,19820618,BEL,,
206513,Tina,Kotter,U,19790411,GER,,
206514,Natacha,Gosset,U,19810308,BEL,,
206515,Carina,Kaempfer,U,19810915,GER,,
206516,Magali,Denayer,U,19790428,BEL,,
206517,Hanna,Krampe,U,19811015,GER,,
206518,Bretchtje,Bruls,U,19800813,NED,,
206519,Lenka,Novotna,U,19790120,CZE,,
206520,Laetitia,Renault,U,19800208,FRA,,
206521,Katja,Pohlmann,U,19760619,GER,,
206522,Sofie,Werckx,U,19790625,BEL,,
206523,Manon,Savelkouls,U,19760415,NED,,
206524,Anja,Elsen,U,19700720,GER,,
206525,Katarina,Markovski,U,19780411,YUG,,
206526,Sophie,Regnier,U,19800128,FRA,,
206527,Marie Eva,Vrba,U,19801208,GER,,
206528,Klara,Jarova,U,19830831,CZE,,
206529,Hanna Katri,Aalto,U,19780524,FIN,,Q97961541
206530,Wibeke,Clifford,U,19811003,NED,,
206531,Linda,Akkerman,U,19800805,NED,,
206532,Thamara,Jonkman,U,19800803,NED,,
206533,Ingrid,Peltier,U,19791227,FRA,,
206534,Jessie,De Vries,R,19840126,BEL,,
206535,Hannah,Kuervers,L,19850313,GER,,
206536,Antoinette,Mmoh,U,19850107,USA,,
206537,Katarzyna,Kolodynska,U,19810823,BLR,,
206538,Barbara,De Wilde,U,19760416,BEL,,
206539,Britta,Mohlmann,U,19801130,GER,,
206540,Leonne,Muller Van Moppe,U,19810217,NED,,
206541,Marija,Serdarusic,U,19830104,CRO,,
206542,Dinka,Hadzic,U,19830602,CRO,,
206543,Marina,Petrovic,U,19780601,SCG,,
206544,Desanka,Jovanovic,U,19830603,YUG,,
206545,Monica,Mastan,U,19810831,ROU,,
206546,Svetla,Bozicnik,U,19800919,SLO,,
206547,Ana,Friganovic,U,19771211,CRO,,
206548,Mia,Marovic,R,19831220,CRO,,
206549,Maja,Kovacek,R,19830828,CRO,,
206550,Lejla,Popobic,U,19830317,BIH,,
206551,Maja,Mesanovic,R,19851101,BIH,,
206552,Anja,Margetic,R,19830421,CRO,,
206553,Svetlana,Kouzmenko,U,19840825,BLR,,
206554,Natalia,Stoudyanaya,U,19811115,BLR,,
206555,Olga,Borisova,U,19830910,BLR,,
206556,Alexandra,Zerkalova,U,19840404,RUS,,
206557,Lenka,Potocarova,U,19830329,SVK,,
206558,Anna,Anikanova,R,19831201,UKR,,
206559,Volha,Dubovik,U,19840415,BLR,,
206560,Ekaterina,Kavoun,U,19780804,UKR,,
206561,Caroline,Leens,U,19780819,BEL,,
206562,Galina,Selyunina,U,19790702,BLR,,
206563,Helen,Laupa,U,19760831,EST,,Q106873553
206564,Simona,Petrutiu,U,19800830,ROU,,
206565,Natalia,Bondarenko,U,19750917,UKR,,
206566,Daria,Turpak,U,19761215,UKR,,
